Wind ID,Date/Time,Latitude,Longitude,Nearest town,State,Max Gust speed,Comments,,,
5620,3/01/2010 1:30,-30.5151,151.665,ARMIDALE,NSW,0,Weatherzone photos near Armidale showed trees down as a result of wind damage between about 12:30 and 1pm local time on 3/1/10. Severe thunderstorm with wind damage just missed Armidale early afternoon on 3/1/10.,,,
5621,5/01/2010 0:43,-35.1318,147.4179,WAGGA WAGGA AERODROME,NSW,51,51 knot  gust recorded at Wagga Wagga airport AWS at 0043 UTC on 5/1/10. Thunderstorm with damaging wind gust at Wagga Wagga on 5/1/10.,,,
5622,10/01/2010 7:00,-31.2651,149.2679,COONABARABRAN,NSW,0,"Roof damage from severe winds with a thunderstorm at Coonabarabran on 10/1/10 reported by the SES, time was probably roughly 6pm local (42 knot gust at 6:17pm). Water damage also reported - may have been heavy (severe) rain or just moderate rain after roof damage occurred. Thunderstorm with strong winds and possibly heavy rain at Coonabarabran on 10/1/10.",,,
5623,13/01/2010 7:46,-30.9484,150.2511,GUNNEDAH AERODROME,NSW,50,49 knot wind gust reported at 0746 UTC followed by 50kt gust at 0805 UTC on 13/1/10 at Gunnedah airport AWS. Thunderstorm with damaging winds at Gunnedah on 13/1/10.,,,
5624,17/01/2010 4:38,-31.7651,150.8345,MURRURUNDI,NSW,48,48 knot gust recorded at Murrurundi AWS at 0438 UTC on 17/1/10. Thunderstorm with damaging wind in the Murrurundi/Scone area on 17/1/10.,,,
5625,17/01/2010 4:57,-32.0484,150.8678,SCONE,NSW,50,50 knot gust recorded at Scone AWS at 0457 UTC on 17/1/10. Thunderstorm with damaging wind in the Murrurundi/Scone area on 17/1/10.,,,
5626,17/01/2010 5:00,-29.6817,152.9345,GRAFTON,NSW,0,"SES reported trees down due to wind in the Grafton area, also strong winds with horizontal rain reported by a spotter at nearby Swan Creek. Thunderstorm with large hail and damaging winds in the Grafton area.",,,
5627,17/01/2010 3:00,-31.4651,152.7345,WAUCHOPE,NSW,0,SES reported trees down due to wind from a thunderstorm at Wauchope. Time estimated from radar as approximately 0300 UTC. Thunderstorm with damaging winds at Wauchope on 17/1/10.,,,
5628,27/01/2010 5:04,-28.8817,153.0511,CASINO AIRPORT,NSW,49,"49 knot wind gust reported from Casino airport AWS at 0504Z on 27/1/10. Supercell thunderstorm affected Whiporie, Casino, Lismore and surrounding areas on 27/1/10. Large hail, damaging winds and heavy rainfall were all reported from various locations.",,,
5629,27/01/2010 5:00,-28.8984,152.7178,MALLANGANEE,NSW,0,"Storm spotter reported power lines down in Mallanganee and Bonalbo areas on 27/1/10. Time estimated as 05Z from radar. Supercell thunderstorm affected Whiporie, Casino, Lismore and surrounding areas on 27/1/10. Large hail, damaging winds and heavy rainfall were all reported from various locations.",,,
